,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Expectations Survey1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for periods indicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,,2017,,,,,2018,,,,,2019,,,,,2020,,,,,2021,,,,,2022,,,,,2023,,,,,2024,,,,,2025,,,
,Low-income group,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,10.6,-,5.7,8.0,,7.3,6.2,5.1,5.6,,7.8,8.6,10.1,10.5,,10.7,9.3,9.1,8.6,,9.0,9.7,10.1,12.5,,17.1,9.6,11.9,
,Middle-income group,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,9.8,-,6.9,6.3,,8.1,6.0,8.0,5.9,,7.4,8.2,6.4,7.2,,9.2,7.4,7.4,9.0,,8.7,8.9,9.2,11.3,,13.1,15.1,13.3,
,High-income group,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,9.8,-,5.9,7.2,,5.3,5.5,7.9,6.8,,5.1,4.1,5.9,7.9,,5.7,5.1,10.2,12.5,,9.0,6.6,6.3,5.9,,13.1,10.8,13.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Index on debt application experience (Credit access) 
(in percent)",,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,100.0,-,79.6,83.5,,78.9,86.3,87.0,90.3,,93.6,84.7,94.9,91.7,,89.6,89.2,85.5,88.3,,93.7,92.1,91.1,93.1,,86.1,86.0,86.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Next 12 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of households with intention to apply for a loan,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,9.8,-,5.7,6.9,,6.8,6.0,7.1,7.1,,7.4,9.9,10.0,9.3,,9.6,12.3,12.1,13.7,,12.9,12.4,13.9,13.7,,16.9,14.8,16.9,
,By area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NCR,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,6.3,-,4.0,1.8,,5.5,3.3,3.2,3.1,,4.5,4.7,5.3,4.3,,6.6,8.5,4.8,8.9,,6.5,5.6,6.9,7.1,,15.0,11.9,10.2,
,AONCR,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,10.4,-,5.9,7.7,,7.0,6.5,7.8,7.8,,7.9,10.8,10.7,10.1,,10.1,12.9,13.3,14.5,,13.9,13.5,15.0,14.8,,17.2,15.3,18.0,
,By income group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low-income group,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,11.1,-,5.7,6.5,,6.7,6.0,4.8,6.7,,7.9,10.1,12.1,11.2,,11.7,15.1,12.2,11.9,,13.6,13.2,15.5,15.0,,20.7,13.3,15.4,
,Middle-income group,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,10.6,-,6.3,6.8,,7.1,6.2,7.3,6.6,,7.9,11.8,9.9,7.3,,10.0,13.1,11.4,12.2,,13.4,13.2,15.9,17.4,,15.7,17.6,18.1,
,High-income group,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,7.2,-,4.7,7.9,,6.4,5.7,11.3,8.5,,6.1,7.4,7.7,9.4,,7.0,8.2,13.0,16.9,,11.6,10.9,9.2,8.2,,15.3,13.3,16.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Index on debt application experience (Credit access) 
(in percent)",,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,92.0,-,82.1,78.5,,85.9,85.7,88.8,91.0,,92.3,87.1,91.0,93.1,,93.3,91.2,88.0,86.9,,93.0,91.0,89.7,94.8,,87.4,90.2,86.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15a. Borrowing intention index (in percent)4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Next Quarter,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,-79.9,-,-87.7,-85.4,,-85.8,-88.1,-86.4,-88.0,,-86.2,-85.9,-85.0,-82.8,,-82.8,-85.3,-82.4,-80.0,,-82.3,-83.3,-82.6,-80.0,,-71.6,-76.0,-74.1,
,By area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NCR,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,-87.7,-,-93.5,-93.8,,-91.5,-94.9,-92.7,-92.3,,-91.6,-93.2,-91.5,-92.3,,-91.0,-91.1,-94.5,-86.7,,-91.9,-94.8,-91.5,-90.5,,-73.0,-78.7,-84.3,
,AONCR,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,-78.6,-,-86.8,-84.1,,-84.9,-87.0,-85.4,-87.3,,-85.4,-84.7,-84.0,-81.3,,-81.5,-84.4,-80.5,-78.9,,-80.7,-81.4,-81.2,-78.3,,-71.4,-75.6,-72.4,
,By income group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low-income group,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,-78.9,-,-88.5,-84.1,,-85.4,-87.6,-89.8,-88.9,,-84.5,-82.9,-79.7,-79.1,,-78.6,-81.5,-81.8,-82.9,,-82.1,-80.6,-79.8,-75.0,,-65.9,-80.7,-76.1,
,Middle-income group,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,-80.4,-,-86.2,-87.3,,-83.9,-88.0,-84.0,-88.2,,-85.1,-83.7,-87.1,-85.5,,-81.7,-85.1,-85.2,-82.1,,-82.6,-82.3,-81.5,-77.3,,-73.8,-69.9,-73.3,
,High-income group,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,-80.5,-,-88.3,-85.6,,-89.3,-89.0,-84.3,-86.3,,-89.8,-91.8,-88.1,-84.2,,-88.6,-89.9,-79.7,-75.1,,-82.1,-86.8,-87.4,-88.1,,-73.8,-78.4,-73.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Next 12 Months,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,-80.3,-,-88.7,-86.2,,-86.4,-88.0,-85.7,-85.8,,-85.2,-80.1,-80.1,-81.4,,-80.7,-75.4,-75.7,-72.6,,-74.2,-75.2,-72.3,-72.5,,-66.2,-70.4,-66.2,
,By area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NCR,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,-87.3,-,-91.9,-96.4,,-88.9,-93.5,-93.5,-93.9,,-91.1,-90.6,-89.5,-91.4,,-86.8,-83.0,-90.3,-82.3,,-87.0,-88.8,-86.2,-85.8,,-70.1,-76.2,-79.6,
,AONCR,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,-79.2,-,-88.2,-84.6,,-86.0,-87.1,-84.4,-84.5,,-84.2,-78.5,-78.6,-79.8,,-79.7,-74.2,-73.4,-71.0,,-72.1,-73.0,-70.0,-70.4,,-65.5,-69.4,-64.0,
,By income group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low-income group,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,-77.9,-,-88.7,-86.9,,-86.6,-88.0,-90.3,-86.6,,-84.1,-79.8,-75.7,-77.5,,-76.5,-69.9,-75.5,-76.2,,-72.9,-73.6,-69.0,-70.0,,-58.5,-73.4,-69.2,
,Middle-income group,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,-78.8,-,-87.3,-86.3,,-85.7,-87.6,-85.5,-86.9,,-84.2,-76.4,-80.3,-85.3,,-80.0,-73.8,-77.3,-75.5,,-73.2,-73.6,-68.2,-65.1,,-68.7,-64.8,-63.8,
,High-income group,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,-85.7,-,-90.6,-84.3,,-87.2,-88.6,-77.4,-83.1,,-87.8,-85.1,-84.5,-81.1,,-86.0,-83.7,-74.1,-66.1,,-76.7,-78.2,-81.5,-83.6,,-69.4,-73.3,-66.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A quarterly survey conducted by the Department of Economic Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Starting Q1 2020, the questionnaire was enhanced to include sections on debt outlook for the current quarter, next quarter and next 12 months.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Beginning Q1 2025, only forward-looking questions on the respondent’s and/or spouse’s debt were retained in the CES questionnaire due to the streamlining of BSP surveys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"In Q1 2025, consumer sentiment in applying for a loan for the next quarter and the next 12 months was included using the net balance approach (i.e., difference of the percentage of households with intention to apply for a loan and the percentage of households with no intention to apply for a loan).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Due to the implementation of the Community Quarantine nationwide, the conduct of the Q2 2020 CES was cancelled.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Bangko Sentral ng Pilipinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
