,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Expectations Survey1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for periods indicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,,2017,,,,,2018,,,,,2019,,,,,2020,,,,,2021,,,,,2022,,,,,2023,,,,,2024,,,,,2025,,,
,Apartment,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,3.6,2.0,3.5,,3.9,1.4,3.3,4.0,,5.1,-,0.5,2.7,,3.1,3.8,6.1,0.8,,2.6,2.9,1.8,3.9,,4.7,4.4,1.6,4.2,,3.5,5.4,3.7,4.3,,6.9,2.4,3.2,
,Condominium unit,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,1.1,1.3,1.1,,1.5,0.4,0.4,2.4,,0.3,-,0.0,1.6,,0.5,1.7,0.2,0.8,,0.7,1.5,0.3,9.7,,2.2,1.8,4.3,2.3,,0.5,1.6,0.3,1.7,,0.8,0.7,1.4,
,Agricultural lot,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,4.8,6.9,10.8,,13.9,17.3,18.0,19.0,,12.7,-,17.8,18.8,,18.0,19.7,12.2,15.8,,12.5,12.2,11.4,7.3,,12.1,12.7,5.9,6.9,,5.0,10.4,13.6,12.2,,20.7,24.8,16.4,
,Commercial lot,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,0.1,4.2,6.2,,1.4,1.2,3.0,3.1,,2.3,-,9.8,3.0,,3.6,2.1,7.3,2.8,,1.9,2.5,4.7,1.4,,7.0,5.7,3.8,4.6,,2.4,5.4,8.6,2.3,,3.5,6.0,8.3,
,Others,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,2.9,0.8,0.1,,0.1,0.1,0.7,2.7,,3.5,-,0.0,0.0,,1.3,0.1,0.7,0.6,,3.6,1.2,1.4,0.0,,1.2,0.0,0.5,0.4,,0.0,0.0,0.7,0.0,,0.3,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single detached,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,71.6,52.0,30.9,,40.6,46.8,44.6,42.2,,50.9,-,48.6,28.2,,38.6,43.0,51.3,57.5,,32.3,45.2,44.1,35.0,,45.7,59.6,42.1,49.8,,62.2,32.3,41.8,29.0,,48.6,48.1,39.1,
Residential lot,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,0.4,17.3,22.8,,17.0,12.7,25.1,22.8,,13.1,-,5.7,32.4,,27.7,18.6,20.4,12.4,,22.5,25.3,18.3,25.3,,20.1,12.3,21.1,20.9,,17.9,24.1,28.0,22.6,,15.5,23.2,9.7,
Additional types,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,27.9,30.7,46.3,,42.4,40.4,30.4,35.0,,35.9,-,45.6,39.4,,33.7,38.4,28.3,30.0,,45.2,29.4,37.6,39.7,,34.2,28.1,36.9,29.3,,19.9,43.6,30.2,48.4,,35.9,28.7,51.2,
,Duplex,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,8.8,9.8,5.2,,15.7,6.4,8.7,5.5,,4.7,-,7.7,10.1,,4.8,9.1,9.0,5.1,,7.7,5.8,8.2,7.7,,7.3,8.2,10.5,7.4,,3.0,4.2,4.5,7.7,,7.7,2.0,20.5,
,Townhouse,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,6.6,7.9,16.8,,10.1,17.9,10.7,10.0,,7.5,-,24.5,5.3,,12.2,8.6,7.0,10.7,,20.8,14.9,20.5,11.2,,8.9,9.0,9.3,10.7,,4.4,14.8,9.9,3.7,,4.2,4.6,15.4,
,Apartment,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,5.6,6.2,10.2,,4.9,7.0,3.9,3.8,,11.0,-,6.5,12.7,,4.8,6.3,4.5,2.9,,4.4,5.7,2.6,10.8,,3.2,3.2,1.6,1.2,,2.5,7.1,4.8,8.3,,5.3,7.3,2.7,
,Condominium unit,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,6.3,3.9,7.8,,6.7,3.5,4.4,7.5,,2.4,-,0.0,5.4,,5.5,6.4,0.9,2.0,,4.3,2.6,2.9,0.0,,4.7,5.1,6.7,2.9,,3.2,6.1,2.9,0.5,,7.8,6.7,3.4,
,Agricultural lot,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,0.3,1.8,1.9,,2.0,3.5,1.0,2.0,,5.9,-,3.9,3.3,,3.4,1.1,0.0,5.2,,4.9,0.5,2.4,5.2,,7.0,0.7,3.8,2.9,,2.9,6.9,4.8,23.8,,4.3,5.0,5.9,
,Commercial lot,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,0.0,0.4,4.0,,2.2,1.6,1.7,3.3,,1.4,-,3.0,2.6,,2.3,5.3,2.4,0.4,,2.4,0.0,0.9,4.8,,1.4,1.9,4.9,1.7,,4.0,4.5,2.8,4.5,,3.9,3.1,3.2,
,Others,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,0.4,0.7,0.5,,0.7,0.5,0.0,2.9,,2.9,-,0.0,0.0,,0.7,1.6,4.4,3.8,,0.6,0.0,0.0,0.0,,1.6,0.0,0.0,2.5,,0.1,0.0,0.6,0.0,,2.7,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AONCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single detached,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,75.8,38.0,44.3,,34.8,42.8,32.2,38.0,,42.7,-,31.3,43.3,,33.5,38.3,40.8,35.9,,54.0,31.8,26.6,33.5,,50.4,54.8,29.0,47.0,,55.0,50.3,30.4,51.1,,36.7,38.0,43.0,
Residential lot,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,1.9,34.6,25.0,,38.2,30.2,31.5,24.7,,22.2,-,35.4,19.2,,33.3,31.2,21.5,35.1,,18.4,33.2,51.0,41.6,,16.8,16.1,52.2,25.7,,27.3,24.2,31.3,26.1,,25.4,20.1,14.6,
Additional types,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,22.3,27.4,30.7,,27.0,38.1,36.4,37.3,,35.1,-,33.3,37.5,,33.1,30.5,37.7,28.9,,27.6,34.9,22.4,24.9,,32.8,29.1,18.8,27.3,,17.7,25.4,38.3,22.8,,37.9,41.9,42.5,
,Duplex,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,7.4,8.4,5.8,,2.8,2.5,3.3,0.8,,4.8,-,1.6,5.1,,0.0,0.9,7.7,5.5,,3.8,9.5,0.0,2.5,,3.2,1.9,2.7,7.4,,4.8,2.9,4.5,3.5,,3.2,4.1,8.4,
,Townhouse,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,2.6,3.4,3.7,,2.3,3.5,6.0,4.0,,6.5,-,2.4,6.1,,5.6,1.4,0.7,1.2,,2.1,3.6,1.4,0.0,,0.9,0.0,0.0,0.1,,1.8,0.0,5.5,1.3,,1.6,2.5,3.0,
,Apartment,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,3.2,1.2,2.4,,3.7,0.7,3.2,4.0,,4.3,-,0.0,1.7,,3.0,3.5,6.4,0.5,,2.5,2.5,1.7,2.6,,4.9,4.6,1.6,4.8,,3.7,5.1,3.5,3.7,,7.1,1.9,3.2,
,Condominium unit,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,0.0,0.8,0.1,,0.3,0.0,0.0,1.8,,0.0,-,0.0,1.1,,0.0,1.3,0.0,0.6,,0.4,1.3,0.0,11.4,,1.8,1.1,4.0,2.2,,0.0,0.6,0.0,1.8,,0.0,0.0,1.1,
,Agricultural lot,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,5.7,7.9,12.2,,16.6,19.1,19.9,20.9,,13.5,-,18.9,20.4,,19.5,21.6,14.6,17.9,,13.2,13.7,12.5,7.6,,13.0,15.0,6.1,7.6,,5.5,11.2,14.7,10.5,,22.7,27.1,17.8,
,Commercial lot,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,0.1,4.9,6.5,,1.3,1.1,3.2,3.1,,2.4,-,10.4,3.1,,3.8,1.8,8.3,3.3,,1.8,2.9,5.2,0.7,,7.9,6.4,3.7,5.2,,2.1,5.6,9.4,2.0,,3.5,6.3,8.9,
,Others,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,…,…,…,,…,3.4,0.8,0.0,,0.0,0.0,0.7,2.7,,3.6,-,0.0,0.0,,1.3,0.0,0.0,0.0,,3.9,1.4,1.6,0.0,,1.1,0.0,0.6,0.0,,0.0,0.0,0.7,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A quarterly survey conducted by the Department of Economic Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Starting Q2 2018, the questionnaire was enhanced to include buying intention on house and/or lot for the next 12 months.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Due to the implementation of the Community Quarantine nationwide, the conduct of the Q2 2020 CES was cancelled.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Bangko Sentral ng Pilipinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
